"","id","trial","word_class","target_word","correct","age","sex","source"
"1","vie6u5cf",1,"noun","auge",TRUE,3.23066392881588,"m","lg"
"2","vie6u5cf",2,"verb","schweben",TRUE,3.23066392881588,"m","lg"
"3","vie6u5cf",3,"noun","moehre",TRUE,3.23066392881588,"m","lg"
"4","vie6u5cf",4,"noun","ameise",TRUE,3.23066392881588,"m","lg"
"5","vie6u5cf",5,"verb","jonglieren",FALSE,3.23066392881588,"m","lg"
"6","vie6u5cf",6,"noun","elch",FALSE,3.23066392881588,"m","lg"
"7","vie6u5cf",7,"noun","chor",FALSE,3.23066392881588,"m","lg"
"8","vie6u5cf",8,"verb","torkeln",FALSE,3.23066392881588,"m","lg"
"9","vie6u5cf",9,"verb","studieren",FALSE,3.23066392881588,"m","lg"
"10","vie6u5cf",10,"verb","operieren",TRUE,3.23066392881588,"m","lg"
"11","vie6u5cf",11,"noun","ventilator",TRUE,3.23066392881588,"m","lg"
"12","vie6u5cf",12,"verb","waehlen",FALSE,3.23066392881588,"m","lg"
"13","vie6u5cf",13,"noun","rucola",FALSE,3.23066392881588,"m","lg"
"14","vie6u5cf",14,"verb","scheren",FALSE,3.23066392881588,"m","lg"
"15","vie6u5cf",15,"noun","giraffe",TRUE,3.23066392881588,"m","lg"
"16","vie6u5cf",16,"noun","palme",FALSE,3.23066392881588,"m","lg"
"17","vie6u5cf",17,"verb","tadeln",FALSE,3.23066392881588,"m","lg"
"18","vie6u5cf",18,"noun","ananas",FALSE,3.23066392881588,"m","lg"
"19","vie6u5cf",19,"verb","empfangen",FALSE,3.23066392881588,"m","lg"
"20","vie6u5cf",20,"verb","verloben",FALSE,3.23066392881588,"m","lg"
"21","vie6u5cf",21,"noun","ozean",TRUE,3.23066392881588,"m","lg"
"22","vie6u5cf",22,"verb","faulenzen",FALSE,3.23066392881588,"m","lg"
"23","vie6u5cf",23,"noun","gazelle",FALSE,3.23066392881588,"m","lg"
"24","vie6u5cf",24,"verb","liefern",TRUE,3.23066392881588,"m","lg"
"25","vie6u5cf",25,"noun","pfifferling",FALSE,3.23066392881588,"m","lg"
"26","vie6u5cf",26,"verb","dekorieren",TRUE,3.23066392881588,"m","lg"
"27","vie6u5cf",27,"verb","bekennen",FALSE,3.23066392881588,"m","lg"
"28","vie6u5cf",28,"noun","ruine",FALSE,3.23066392881588,"m","lg"
"29","vie6u5cf",29,"noun","labyrinth",TRUE,3.23066392881588,"m","lg"
